"Befolkningens udvikling efter bevægelsesart, køn, område og tid"

" "," "," ","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Befolkningen ultimo indeværende år"
" ","Mænd"
" "," ","København",248190,251736,256404,261213,267028,271418,276256,281651,286916,292245,297647,302865,307919,312054,314784,317919
" "," ","Frederiksberg",43285,43863,44754,45579,46559,47193,48094,48356,48582,49374,49774,49420,49246,49520,49196,49096
" "," ","Dragør",6413,6475,6556,6601,6679,6682,6798,6845,6839,6927,7004,6998,6984,7122,7142,7163
" "," ","Tårnby",19377,19436,19516,19607,19886,20058,20310,20674,21050,21168,21259,21294,21244,21292,21169,21186
" "," ","Albertslund",13845,13810,13871,13837,13866,13947,13930,13848,13876,13927,13900,13832,13879,13791,13585,13694
" "," ","Ballerup",22919,23115,23260,23342,23524,23561,23658,23786,23701,23601,23573,23602,23640,23771,24129,24076
" "," ","Brøndby",16549,16476,16455,16469,16616,16650,16718,16917,17181,17333,17401,17419,17341,17221,17277,17516
" "," ","Gentofte",32141,32296,32731,33357,33704,34181,34664,35111,35381,35748,36047,36003,35788,35688,35524,35440
" "," ","Gladsaxe",30122,30477,30862,31333,31789,32101,32464,32752,33137,33533,34068,34462,34601,34377,34356,34424
" "," ","Glostrup",9944,10004,10222,10405,10451,10559,10681,10811,11055,11133,11195,11269,11190,11471,11639,11765
" "," ","Herlev",12921,12830,12899,12859,12868,12910,13096,13449,13642,13763,13738,13865,13938,14065,14079,14094
" "," ","Hvidovre",24083,24139,24168,24300,24607,24882,25246,25556,25768,25983,26087,26266,26304,26389,26284,26319
" "," ","Høje-Taastrup",23241,23483,23611,23733,23786,23909,24116,24282,24560,24972,25207,25402,25364,25440,25872,26668
" "," ","Ishøj",10336,10327,10361,10270,10349,10470,10540,10785,11045,11198,11369,11533,11436,11469,11509,11596
" "," ","Lyngby-Taarbæk",24742,24657,24713,25153,25415,25701,26077,26193,26540,26821,26910,27027,27198,27464,27863,28559
" "," ","Rødovre",17561,17545,17518,17533,17732,17902,18222,18279,18428,18532,18790,19224,19559,19834,20131,20316
" "," ","Vallensbæk",6060,6188,6653,7012,7197,7247,7359,7547,7587,7705,7835,8106,8340,8326,8281,8255
" "," ","Allerød",11677,11597,11737,11812,11813,11793,11776,11814,11934,12105,12252,12415,12622,12540,12678,12665
" "," ","Egedal",19984,20195,20396,20575,20630,20707,20859,20931,21120,21255,21421,21354,21531,21531,21715,22054
" "," ","Fredensborg",19065,19027,19016,18989,19005,19118,19113,19253,19296,19470,19601,19749,19777,19799,19872,19959
" "," ","Frederikssund",21828,21907,21972,21894,21982,21958,21958,21951,22007,22173,22358,22402,22479,22413,22446,22611
" "," ","Furesø",18284,18284,18393,18528,18616,18565,18592,18768,19051,19613,19868,19962,20049,19991,20040,20208
" "," ","Gribskov",20146,20189,20224,20285,20245,20157,20205,20272,20322,20474,20525,20573,20622,20505,20432,20555
" "," ","Halsnæs",15359,15352,15452,15456,15447,15399,15325,15266,15332,15510,15556,15478,15529,15609,15646,15600
" "," ","Helsingør",29848,29768,29870,29883,30022,30064,30118,29991,30023,30263,30472,30474,30390,30408,30531,30408
" "," ","Hillerød",22683,22783,22988,23222,23404,23523,23574,23742,24024,24360,24625,24952,25140,25216,25310,26153
" "," ","Hørsholm",11526,11392,11467,11495,11494,11449,11519,11596,11690,11708,11766,11766,11766,11749,11769,11633
" "," ","Rudersdal",26028,25999,26028,26247,26428,26398,26530,26665,26981,27130,27280,27165,27469,27641,27808,28016
" "," ","Bornholm",21235,21080,20997,20809,20646,20379,20128,19865,19716,19687,19652,19622,19592,19560,19603,19553
" "," ","Christiansø",49,49,50,53,49,54,49,48,48,48,44,44,48,48,50,50
" "," ","Greve",23557,23572,23671,23580,23631,23657,23663,23703,24094,24435,24604,24631,24838,25011,24941,25129
" "," ","Køge",27803,27997,28108,28217,28302,28318,28566,28877,29304,29677,29846,29989,30124,30339,30567,30676
" "," ","Lejre",13178,13282,13347,13364,13327,13370,13423,13461,13581,13672,13718,13704,13863,13968,14012,14223
" "," ","Roskilde",39719,39587,39908,40227,40544,40839,41017,41341,41796,42438,42856,42943,43021,43088,43566,43854
" "," ","Solrød",10350,10255,10239,10308,10357,10434,10434,10540,10648,10803,10975,11129,11400,11478,11572,11715
" "," ","Faxe",17513,17698,17762,17707,17664,17647,17673,17688,17742,18127,18220,18346,18559,18597,18713,18966
" "," ","Guldborgsund",31522,31434,31374,31282,31020,30756,30527,30367,30299,30422,30634,30620,30438,30329,30077,30140
" "," ","Holbæk",33884,34097,34325,34273,34301,34206,34178,34029,34118,34610,35207,35274,35461,35613,35769,36186
" "," ","Kalundborg",24666,24965,24918,24680,24617,24387,24190,24267,24341,24432,24557,24645,24436,24285,24315,24326
" "," ","Lolland",24448,24202,23949,23572,23120,22636,22222,21862,21663,21491,21326,21229,21035,20799,20465,20237
" "," ","Næstved",39430,39765,39828,40012,39853,39919,40003,40091,40356,40746,40937,41104,41183,41257,41319,41601
" "," ","Odsherred",16501,16583,16577,16479,16366,16306,16244,16245,16365,16479,16537,16570,16599,16529,16472,16485
" "," ","Ringsted",15581,15930,16092,16191,16347,16488,16511,16543,16706,17092,17244,17297,17439,17543,17542,17741
" "," ","Slagelse",38096,38365,38465,38532,38484,38400,38297,38200,38403,38873,39287,39333,39377,39369,39316,39605
" "," ","Sorø",14364,14501,14621,14659,14711,14642,14610,14630,14602,14786,14831,14894,15000,14992,15044,15029
" "," ","Stevns",10993,11010,11051,11035,10992,10976,10993,11000,11131,11243,11406,11534,11566,11541,11623,11863
" "," ","Vordingborg",22967,23035,22993,22840,22774,22567,22415,22404,22517,22665,22734,22844,22717,22629,22519,22666
" "," ","Assens",20867,20984,21057,21010,20812,20693,20699,20543,20567,20725,20822,20805,20712,20560,20539,20636
" "," ","Faaborg-Midtfyn",25764,25965,26077,26012,25931,25821,25755,25602,25560,25747,25838,25932,26128,25882,25892,26013
" "," ","Kerteminde",11652,11732,11760,11768,11783,11796,11748,11675,11709,11822,11752,11779,11755,11749,11743,11856
" "," ","Langeland",6964,6859,6775,6747,6668,6557,6432,6347,6348,6326,6327,6355,6354,6315,6260,6264
" "," ","Middelfart",18276,18548,18718,18723,18745,18728,18706,18784,18916,18956,19017,19087,19322,19412,19620,19848
" "," ","Nordfyns",14784,14898,15016,14990,14955,14892,14840,14708,14765,14860,14930,15002,15066,15005,14935,15032
" "," ","Nyborg",15626,15648,15755,15733,15581,15577,15554,15469,15585,15781,15879,15834,15870,15804,15772,15870
" "," ","Odense",91384,91462,92018,92499,93271,94057,94985,96406,97263,98019,98933,99943,101039,101477,101648,101887
