tid,område,Folketal den 1. i kvartalet
2008K1,København,509861
2008K1,Frederiksberg,93444
2008K1,Dragør,13261
2008K1,Tårnby,40016
2008K1,Albertslund,27602
2008K1,Ballerup,47116
2008K1,Brøndby,33831
2008K1,Gentofte,68913
2008K1,Gladsaxe,62562
2008K1,Glostrup,20673
2008K1,Herlev,26567
2008K1,Hvidovre,49380
2008K1,Høje-Taastrup,47158
2008K1,Ishøj,20687
2008K1,Lyngby-Taarbæk,51449
2008K1,Rødovre,36144
2008K1,Vallensbæk,12399
2008K1,Allerød,23493
2008K1,Egedal,40533
2008K1,Fredensborg,39240
2008K1,Frederikssund,44102
2008K1,Furesø,37667
2008K1,Gribskov,40512
2008K1,Halsnæs,30824
2008K1,Helsingør,60844
2008K1,Hillerød,46568
2008K1,Hørsholm,24197
2008K1,Rudersdal,53869
2008K1,Bornholm,42817
2008K1,Christiansø,96
2008K1,Greve,47773
2008K1,Køge,56637
2008K1,Lejre,26603
2008K1,Roskilde,80687
2008K1,Solrød,20759
2008K1,Faxe,35418
2008K1,Guldborgsund,63496
2008K1,Holbæk,69010
2008K1,Kalundborg,49743
2008K1,Lolland,48219
2008K1,Næstved,80732
2008K1,Odsherred,33129
2008K1,Ringsted,32092
2008K1,Slagelse,77457
2008K1,Sorø,29180
2008K1,Stevns,21892
2008K1,Vordingborg,46600
2008K1,Assens,42054
2008K1,Faaborg-Midtfyn,51950
2008K1,Kerteminde,23630
2008K1,Langeland,13741
2008K1,Middelfart,37274
2008K1,Nordfyns,29470
2008K1,Nyborg,31607
2008K1,Odense,186932
2008K1,Svendborg,59040
2008K1,Ærø,6712
2008K1,Billund,26181
2008K1,Esbjerg,114244
2008K1,Fanø,3192
2008K1,Fredericia,49463
2008K1,Haderslev,56414
2008K1,Kolding,87781
2008K1,Sønderborg,76913
2008K1,Tønder,40367
2008K1,Varde,50125
2008K1,Vejen,42447
2008K1,Vejle,104933
2008K1,Aabenraa,60189
2008K1,Favrskov,45604
2008K1,Hedensted,45561
2008K1,Horsens,80102
2008K1,Norddjurs,38581
2008K1,Odder,21562
2008K1,Randers,93644
2008K1,Samsø,4085
2008K1,Silkeborg,87371
2008K1,Skanderborg,56044
2008K1,Syddjurs,41281
2008K1,Aarhus,298538
2008K1,Herning,84208
2008K1,Holstebro,57020
2008K1,Ikast-Brande,39893
2008K1,Lemvig,22067
2008K1,Ringkøbing-Skjern,58368
2008K1,Skive,48356
2008K1,Struer,22672
2008K1,Viborg,92084
2008K1,Brønderslev,35525
2008K1,Frederikshavn,62751
2008K1,Hjørring,67121
2008K1,Jammerbugt,38957
2008K1,Læsø,2003
2008K1,Mariagerfjord,42667
2008K1,Morsø,22091
2008K1,Rebild,28753
2008K1,Thisted,45549
2008K1,Vesthimmerlands,38277
2008K1,Aalborg,195145
2008K2,København,511725
2008K2,Frederiksberg,93848
2008K2,Dragør,13315
2008K2,Tårnby,40002
2008K2,Albertslund,27564
2008K2,Ballerup,47253
2008K2,Brøndby,33772
2008K2,Gentofte,68997
2008K2,Gladsaxe,62703
2008K2,Glostrup,20734
2008K2,Herlev,26574
2008K2,Hvidovre,49284
2008K2,Høje-Taastrup,47225
2008K2,Ishøj,20678
2008K2,Lyngby-Taarbæk,51508
2008K2,Rødovre,36163
2008K2,Vallensbæk,12710
2008K2,Allerød,23515
2008K2,Egedal,40733
2008K2,Fredensborg,39148
2008K2,Frederikssund,44150
2008K2,Furesø,37753
2008K2,Gribskov,40568
2008K2,Halsnæs,30767
2008K2,Helsingør,60832
2008K2,Hillerød,46607
2008K2,Hørsholm,24189
2008K2,Rudersdal,53859
2008K2,Bornholm,42720
2008K2,Christiansø,94
2008K2,Greve,47749
2008K2,Køge,56668
2008K2,Lejre,26562
2008K2,Roskilde,80712
2008K2,Solrød,20702
2008K2,Faxe,35511
2008K2,Guldborgsund,63435
2008K2,Holbæk,69182
2008K2,Kalundborg,49711
2008K2,Lolland,48095
2008K2,Næstved,80834
2008K2,Odsherred,33155
2008K2,Ringsted,32254
2008K2,Slagelse,77491
2008K2,Sorø,29198
2008K2,Stevns,21849
2008K2,Vordingborg,46596
2008K2,Assens,42159
2008K2,Faaborg-Midtfyn,52038
2008K2,Kerteminde,23635
2008K2,Langeland,13674
2008K2,Middelfart,37321
2008K2,Nordfyns,29495
2008K2,Nyborg,31630
2008K2,Odense,186950
2008K2,Svendborg,59105
2008K2,Ærø,6667
2008K2,Billund,26218
2008K2,Esbjerg,114390
2008K2,Fanø,3210
2008K2,Fredericia,49445
2008K2,Haderslev,56413
2008K2,Kolding,87996
2008K2,Sønderborg,76883
2008K2,Tønder,40365
2008K2,Varde,50236
2008K2,Vejen,42471
2008K2,Vejle,105157
2008K2,Aabenraa,60283
2008K2,Favrskov,45703
2008K2,Hedensted,45649
2008K2,Horsens,80375
2008K2,Norddjurs,38522
2008K2,Odder,21563
2008K2,Randers,93803
2008K2,Samsø,4073
2008K2,Silkeborg,87586
2008K2,Skanderborg,56149
2008K2,Syddjurs,41257
2008K2,Aarhus,298710
2008K2,Herning,84466
2008K2,Holstebro,57172
2008K2,Ikast-Brande,39979
2008K2,Lemvig,21992
2008K2,Ringkøbing-Skjern,58426
2008K2,Skive,48312
2008K2,Struer,22680
2008K2,Viborg,92266
2008K2,Brønderslev,35508
2008K2,Frederikshavn,62733
2008K2,Hjørring,67143
2008K2,Jammerbugt,39005
2008K2,Læsø,2009
2008K2,Mariagerfjord,42670
2008K2,Morsø,22166
2008K2,Rebild,28798
2008K2,Thisted,45609
2008K2,Vesthimmerlands,38362
2008K2,Aalborg,195145
2008K3,København,511686
2008K3,Frederiksberg,93921
2008K3,Dragør,13350
2008K3,Tårnby,40158
2008K3,Albertslund,27596
2008K3,Ballerup,47363
2008K3,Brøndby,33716
2008K3,Gentofte,69188
2008K3,Gladsaxe,62863
2008K3,Glostrup,20834
2008K3,Herlev,26632
2008K3,Hvidovre,49269
2008K3,Høje-Taastrup,47269
2008K3,Ishøj,20665
2008K3,Lyngby-Taarbæk,51437
2008K3,Rødovre,36126
2008K3,Vallensbæk,12900
2008K3,Allerød,23650
2008K3,Egedal,40900
2008K3,Fredensborg,39214
2008K3,Frederikssund,44245
2008K3,Furesø,37810
2008K3,Gribskov,40662
2008K3,Halsnæs,30926
2008K3,Helsingør,60839
2008K3,Hillerød,46771
2008K3,Hørsholm,24225
2008K3,Rudersdal,53924
2008K3,Bornholm,42746
2008K3,Christiansø,100
2008K3,Greve,47743
2008K3,Køge,56780
2008K3,Lejre,26728
2008K3,Roskilde,80789
2008K3,Solrød,20692
2008K3,Faxe,35450
2008K3,Guldborgsund,63403
2008K3,Holbæk,69321
2008K3,Kalundborg,49845
2008K3,Lolland,48081
2008K3,Næstved,80836
2008K3,Odsherred,33218
2008K3,Ringsted,32319
2008K3,Slagelse,77560
2008K3,Sorø,29245
2008K3,Stevns,21906
2008K3,Vordingborg,46680
2008K3,Assens,42249
2008K3,Faaborg-Midtfyn,52101
2008K3,Kerteminde,23668
2008K3,Langeland,13658
2008K3,Middelfart,37412
2008K3,Nordfyns,29642
2008K3,Nyborg,31665
2008K3,Odense,186886
2008K3,Svendborg,59154
2008K3,Ærø,6688
2008K3,Billund,26267
2008K3,Esbjerg,114398
2008K3,Fanø,3233
2008K3,Fredericia,49507
2008K3,Haderslev,56447
2008K3,Kolding,88107
2008K3,Sønderborg,76919
2008K3,Tønder,40383
2008K3,Varde,50367
2008K3,Vejen,42604
2008K3,Vejle,105481
2008K3,Aabenraa,60427
2008K3,Favrskov,45983
2008K3,Hedensted,45802
2008K3,Horsens,80599
2008K3,Norddjurs,38507
2008K3,Odder,21619
2008K3,Randers,93873
2008K3,Samsø,4068
2008K3,Silkeborg,87806
2008K3,Skanderborg,56308
2008K3,Syddjurs,41318
2008K3,Aarhus,298501
2008K3,Herning,84627
2008K3,Holstebro,57199
2008K3,Ikast-Brande,40116
2008K3,Lemvig,22020
2008K3,Ringkøbing-Skjern,58648
2008K3,Skive,48420
2008K3,Struer,22729
2008K3,Viborg,92433
2008K3,Brønderslev,35646
2008K3,Frederikshavn,62654
2008K3,Hjørring,67250
2008K3,Jammerbugt,39088
2008K3,Læsø,2002
2008K3,Mariagerfjord,42683
2008K3,Morsø,22161
2008K3,Rebild,28890
2008K3,Thisted,45676
2008K3,Vesthimmerlands,38504
2008K3,Aalborg,195048
2008K4,København,516962
2008K4,Frederiksberg,95005
2008K4,Dragør,13452
2008K4,Tårnby,40234
2008K4,Albertslund,27817
2008K4,Ballerup,47329
2008K4,Brøndby,33689
2008K4,Gentofte,69646
2008K4,Gladsaxe,63138
2008K4,Glostrup,20911
2008K4,Herlev,26653
2008K4,Hvidovre,49322
2008K4,Høje-Taastrup,47348
2008K4,Ishøj,20753
2008K4,Lyngby-Taarbæk,51794
2008K4,Rødovre,36128
2008K4,Vallensbæk,13193
2008K4,Allerød,23775
2008K4,Egedal,40983
2008K4,Fredensborg,39293
2008K4,Frederikssund,44271
2008K4,Furesø,37760
2008K4,Gribskov,40686
2008K4,Halsnæs,31012
2008K4,Helsingør,60921
2008K4,Hillerød,46937
2008K4,Hørsholm,24333
2008K4,Rudersdal,53972
2008K4,Bornholm,42625
2008K4,Christiansø,100
2008K4,Greve,47907
2008K4,Køge,56878
2008K4,Lejre,26722
2008K4,Roskilde,81243
2008K4,Solrød,20731
2008K4,Faxe,35444
2008K4,Guldborgsund,63272
2008K4,Holbæk,69403
2008K4,Kalundborg,49777
2008K4,Lolland,47892
2008K4,Næstved,81023
2008K4,Odsherred,33174
2008K4,Ringsted,32401
2008K4,Slagelse,77497
2008K4,Sorø,29391
2008K4,Stevns,21908
2008K4,Vordingborg,46645
2008K4,Assens,42206
2008K4,Faaborg-Midtfyn,52129
2008K4,Kerteminde,23684
2008K4,Langeland,13592
2008K4,Middelfart,37545
2008K4,Nordfyns,29703
2008K4,Nyborg,31682
2008K4,Odense,187783
2008K4,Svendborg,59255
2008K4,Ærø,6715
2008K4,Billund,26247
2008K4,Esbjerg,114543
2008K4,Fanø,3216
2008K4,Fredericia,49598
