,tid,offence,label_dk,Anmeldte forbrydelser
0,2021K1,Seksualforbrydelser i alt,København,133
1,2021K1,Voldsforbrydelser i alt,København,900
2,2021K2,Seksualforbrydelser i alt,København,244
3,2021K2,Voldsforbrydelser i alt,København,996
4,2021K3,Seksualforbrydelser i alt,København,174
5,2021K3,Voldsforbrydelser i alt,København,1089
6,2021K4,Seksualforbrydelser i alt,København,327
7,2021K4,Voldsforbrydelser i alt,København,1022
8,2021K1,Seksualforbrydelser i alt,Frederiksberg,13
9,2021K1,Voldsforbrydelser i alt,Frederiksberg,109
10,2021K2,Seksualforbrydelser i alt,Frederiksberg,18
11,2021K2,Voldsforbrydelser i alt,Frederiksberg,80
12,2021K3,Seksualforbrydelser i alt,Frederiksberg,11
13,2021K3,Voldsforbrydelser i alt,Frederiksberg,93
14,2021K4,Seksualforbrydelser i alt,Frederiksberg,15
15,2021K4,Voldsforbrydelser i alt,Frederiksberg,90
16,2021K1,Seksualforbrydelser i alt,Dragør,8
17,2021K1,Voldsforbrydelser i alt,Dragør,3
18,2021K2,Seksualforbrydelser i alt,Dragør,10
19,2021K2,Voldsforbrydelser i alt,Dragør,10
20,2021K3,Seksualforbrydelser i alt,Dragør,0
21,2021K3,Voldsforbrydelser i alt,Dragør,6
22,2021K4,Seksualforbrydelser i alt,Dragør,1
23,2021K4,Voldsforbrydelser i alt,Dragør,7
24,2021K1,Seksualforbrydelser i alt,Tårnby,6
25,2021K1,Voldsforbrydelser i alt,Tårnby,38
26,2021K2,Seksualforbrydelser i alt,Tårnby,1
27,2021K2,Voldsforbrydelser i alt,Tårnby,40
28,2021K3,Seksualforbrydelser i alt,Tårnby,7
29,2021K3,Voldsforbrydelser i alt,Tårnby,49
30,2021K4,Seksualforbrydelser i alt,Tårnby,6
31,2021K4,Voldsforbrydelser i alt,Tårnby,52
32,2021K1,Seksualforbrydelser i alt,Albertslund,8
33,2021K1,Voldsforbrydelser i alt,Albertslund,35
34,2021K2,Seksualforbrydelser i alt,Albertslund,9
35,2021K2,Voldsforbrydelser i alt,Albertslund,33
36,2021K3,Seksualforbrydelser i alt,Albertslund,12
37,2021K3,Voldsforbrydelser i alt,Albertslund,31
38,2021K4,Seksualforbrydelser i alt,Albertslund,7
39,2021K4,Voldsforbrydelser i alt,Albertslund,30
40,2021K1,Seksualforbrydelser i alt,Ballerup,15
41,2021K1,Voldsforbrydelser i alt,Ballerup,48
42,2021K2,Seksualforbrydelser i alt,Ballerup,6
43,2021K2,Voldsforbrydelser i alt,Ballerup,67
44,2021K3,Seksualforbrydelser i alt,Ballerup,8
45,2021K3,Voldsforbrydelser i alt,Ballerup,73
46,2021K4,Seksualforbrydelser i alt,Ballerup,5
47,2021K4,Voldsforbrydelser i alt,Ballerup,40
48,2021K1,Seksualforbrydelser i alt,Brøndby,10
49,2021K1,Voldsforbrydelser i alt,Brøndby,88
50,2021K2,Seksualforbrydelser i alt,Brøndby,48
51,2021K2,Voldsforbrydelser i alt,Brøndby,62
52,2021K3,Seksualforbrydelser i alt,Brøndby,7
53,2021K3,Voldsforbrydelser i alt,Brøndby,79
54,2021K4,Seksualforbrydelser i alt,Brøndby,1
55,2021K4,Voldsforbrydelser i alt,Brøndby,147
56,2021K1,Seksualforbrydelser i alt,Gentofte,17
57,2021K1,Voldsforbrydelser i alt,Gentofte,50
58,2021K2,Seksualforbrydelser i alt,Gentofte,13
59,2021K2,Voldsforbrydelser i alt,Gentofte,58
