,Unnamed: 0,tid,offence,label_dk,Anmeldte forbrydelser,population,population_scaled,forbrydelser_pr_100k_indbygger
0,0,2008-01-01,Sexual offences,København,41,509861,5.09861,8.041407363967826
1,1,2008-01-01,Crimes of violence,København,549,509861,5.09861,107.67640592239846
2,2,2008-01-01,Offences against property,København,16536,509861,5.09861,3243.236882209073
3,3,2008-01-01,Other offences,København,349,509861,5.09861,68.45002853718955
4,4,2008-01-01,Special acts,København,4148,509861,5.09861,813.5550669692328
5,5,2008-04-01,Sexual offences,København,59,511725,5.11725,11.529630172455908
6,6,2008-04-01,Crimes of violence,København,545,511725,5.11725,106.50251599980456
7,7,2008-04-01,Offences against property,København,18155,511725,5.11725,3547.803996287068
8,8,2008-04-01,Other offences,København,308,511725,5.11725,60.18857784943084
9,9,2008-04-01,Special acts,København,4134,511725,5.11725,807.855781914114
10,10,2008-07-01,Sexual offences,København,52,511686,5.11686,10.16248245994614
11,11,2008-07-01,Crimes of violence,København,554,511686,5.11686,108.26952466942618
12,12,2008-07-01,Offences against property,København,20177,511686,5.11686,3943.238626814101
13,13,2008-07-01,Other offences,København,330,511686,5.11686,64.49267714965819
14,14,2008-07-01,Special acts,København,4235,511686,5.11686,827.6560234206135
15,15,2008-10-01,Sexual offences,København,55,516962,5.16962,10.639079854999013
16,16,2008-10-01,Crimes of violence,København,496,516962,5.16962,95.94515651053656
17,17,2008-10-01,Offences against property,København,20111,516962,5.16962,3890.2279084342754
18,18,2008-10-01,Other offences,København,280,516962,5.16962,54.16258835272225
19,19,2008-10-01,Special acts,København,3987,516962,5.16962,771.2365705796558
20,20,2009-01-01,Sexual offences,København,38,518574,5.18574,7.327787355324409
21,21,2009-01-01,Crimes of violence,København,554,518574,5.18574,106.83142618025586
22,22,2009-01-01,Offences against property,København,17563,518574,5.18574,3386.7876137253315
23,23,2009-01-01,Other offences,København,313,518574,5.18574,60.35782742675105
24,24,2009-01-01,Special acts,København,3817,518574,5.18574,736.0569561914018
25,25,2009-04-01,Sexual offences,København,48,520659,5.20659,9.219085812403128
26,26,2009-04-01,Crimes of violence,København,584,520659,5.20659,112.16554405090471
27,27,2009-04-01,Offences against property,København,18322,520659,5.20659,3519.001880309377
28,28,2009-04-01,Other offences,København,256,520659,5.20659,49.16845766615001
29,29,2009-04-01,Special acts,København,3818,520659,5.20659,733.3014506615654
30,30,2009-07-01,Sexual offences,København,45,521397,5.21397,8.630659555003193
31,31,2009-07-01,Crimes of violence,København,588,521397,5.21397,112.7739515187084
32,32,2009-07-01,Offences against property,København,22092,521397,5.21397,4237.078464202901
33,33,2009-07-01,Other offences,København,282,521397,5.21397,54.08546654468668
34,34,2009-07-01,Special acts,København,3376,521397,5.21397,647.4912590597952
35,35,2009-10-01,Sexual offences,København,28,526918,5.26918,5.313919812950022
36,36,2009-10-01,Crimes of violence,København,521,526918,5.26918,98.87686509096292
37,37,2009-10-01,Offences against property,København,20961,526918,5.26918,3978.038328544479
38,38,2009-10-01,Other offences,København,227,526918,5.26918,43.08070705498768
39,39,2009-10-01,Special acts,København,3537,526918,5.26918,671.2619420858653
40,40,2010-01-01,Sexual offences,København,42,528208,5.28208,7.951413079695878
41,41,2010-01-01,Crimes of violence,København,498,528208,5.28208,94.28104080210828
42,42,2010-01-01,Offences against property,København,17697,528208,5.28208,3350.3846969375704
43,43,2010-01-01,Other offences,København,368,528208,5.28208,69.66952412685912
44,44,2010-01-01,Special acts,København,3799,528208,5.28208,719.2242449943961
45,45,2010-04-01,Sexual offences,København,35,530902,5.30902,6.59255380465698
46,46,2010-04-01,Crimes of violence,København,519,530902,5.30902,97.75815498905637
47,47,2010-04-01,Offences against property,København,19425,530902,5.30902,3658.867361584624
48,48,2010-04-01,Other offences,København,301,530902,5.30902,56.69596272005003
49,49,2010-04-01,Special acts,København,3353,530902,5.30902,631.5666544861386
50,50,2010-07-01,Sexual offences,København,44,531199,5.31199,8.283148123396318
51,51,2010-07-01,Crimes of violence,København,471,531199,5.31199,88.66733559362876
52,52,2010-07-01,Offences against property,København,19991,531199,5.31199,3763.37304851854
53,53,2010-07-01,Other offences,København,310,531199,5.31199,58.35854359665587
54,54,2010-07-01,Special acts,København,3358,531199,5.31199,632.1548045082916
55,55,2010-10-01,Sexual offences,København,32,538031,5.38031,5.947612684027501
56,56,2010-10-01,Crimes of violence,København,483,538031,5.38031,89.77177894954009
57,57,2010-10-01,Offences against property,København,20243,538031,5.38031,3762.4226113365216
58,58,2010-10-01,Other offences,København,315,538031,5.38031,58.54681235839571
59,59,2010-10-01,Special acts,København,3508,538031,5.38031,652.0070404865147
60,60,2011-01-01,Sexual offences,København,36,539542,5.39542,6.6723257874271145
61,61,2011-01-01,Crimes of violence,København,518,539542,5.39542,96.0073543857568
62,62,2011-01-01,Offences against property,København,18721,539542,5.39542,3469.794751845084
63,63,2011-01-01,Other offences,København,301,539542,5.39542,55.78805727821004
64,64,2011-01-01,Special acts,København,3548,539542,5.39542,657.5947748275389
65,65,2011-04-01,Sexual offences,København,55,541559,5.41559,10.15586482728567
66,66,2011-04-01,Crimes of violence,København,493,541559,5.41559,91.03347927003335
67,67,2011-04-01,Offences against property,København,19896,541559,5.41559,3673.8379382486487
68,68,2011-04-01,Other offences,København,386,541559,5.41559,71.27570587876852
69,69,2011-04-01,Special acts,København,3513,541559,5.41559,648.6827843319011
